[2025-02-24T15:54:23.070Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:54:09.441Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:54:08.073Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:54:08.066Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:39:39.544Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:39:38.968Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:39:38.967Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:39:35.912Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:39:34.292Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:39:34.291Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:35:20.522Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:35:16.960Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:35:13.484Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:35:13.484Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:31:19.438Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:31:19.070Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:31:18.723Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:31:18.721Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:31:16.808Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:31:16.378Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:31:13.940Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:31:13.142Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:31:08.212Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:31:08.207Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:30:40.591Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:30:40.591Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:28:42.493Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:28:42.492Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:28:39.986Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:28:27.343Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:28:27.341Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:28:06.718Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:28:06.717Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:28:05.948Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:28:05.288Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:28:04.465Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:28:04.461Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:27:02.052Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:27:00.004Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: create | Subject: role_binding
[2025-02-24T15:26:52.968Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:26:14.544Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:23:07.206Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:19:35.720Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:19:35.349Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:19:34.168Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:19:33.876Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:19:31.615Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:19:23.527Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:19:23.118Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:19:22.136Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:19:21.711Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:19:19.746Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:19:19.327Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:18:18.196Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:18:18.193Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:18:18.189Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:17:54.521Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:17:53.853Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:17:52.983Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:17:52.477Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:17:39.815Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:17:15.382Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:14:16.696Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:14:13.728Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:14:12.566Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:14:12.563Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:13:19.089Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:13:08.566Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:11:26.919Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:09:56.471Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:09:56.470Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:09:56.466Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:08:09.290Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:08:09.284Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:08:09.284Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:05:49.616Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:05:46.924Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:05:46.595Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:05:43.841Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:05:43.423Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:05:36.077Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:05:35.668Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:05:34.951Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:05:34.573Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: role
[2025-02-24T15:05:33.171Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:05:32.038Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: secret
[2025-02-24T15:05:32.015Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace
[2025-02-24T15:05:21.959Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:05:21.958Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
[2025-02-24T15:05:21.953Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: user_workspace_roles
[2025-02-24T15:02:41.227Z] User: 579db272-c0f0-490a-9482-fcbafc821281 | Action: read | Subject: workspace_user
