date,time,user_id,action,subject
24/02/2025, 18:54:23,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:54:09,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:54:08,579db272-c0f0-490a-9482-fcbafc821281,read,secret
24/02/2025, 18:54:08,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
24/02/2025, 18:39:39,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:39:38,579db272-c0f0-490a-9482-fcbafc821281,read,secret
24/02/2025, 18:39:38,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
24/02/2025, 18:39:35,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:39:34,579db272-c0f0-490a-9482-fcbafc821281,read,secret
24/02/2025, 18:39:34,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
24/02/2025, 18:35:20,579db272-c0f0-490a-9482-fcbafc821281,read,role
24/02/2025, 18:35:16,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:35:13,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
24/02/2025, 18:35:13,579db272-c0f0-490a-9482-fcbafc821281,read,secret
24/02/2025, 18:31:19,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:31:19,579db272-c0f0-490a-9482-fcbafc821281,read,role
24/02/2025, 18:31:18,579db272-c0f0-490a-9482-fcbafc821281,read,secret
24/02/2025, 18:31:18,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
24/02/2025, 18:31:16,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:31:16,579db272-c0f0-490a-9482-fcbafc821281,read,role
24/02/2025, 18:31:13,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:31:13,579db272-c0f0-490a-9482-fcbafc821281,read,role
24/02/2025, 18:31:08,579db272-c0f0-490a-9482-fcbafc821281,read,secret
24/02/2025, 18:31:08,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
24/02/2025, 18:30:40,579db272-c0f0-490a-9482-fcbafc821281,read,secret
24/02/2025, 18:30:40,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
24/02/2025, 18:28:42,579db272-c0f0-490a-9482-fcbafc821281,read,secret
24/02/2025, 18:28:42,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
24/02/2025, 18:28:39,579db272-c0f0-490a-9482-fcbafc821281,read,role
24/02/2025, 18:28:27,579db272-c0f0-490a-9482-fcbafc821281,read,secret
24/02/2025, 18:28:27,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
24/02/2025, 18:28:06,579db272-c0f0-490a-9482-fcbafc821281,read,secret
24/02/2025, 18:28:06,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
24/02/2025, 18:28:05,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:28:05,579db272-c0f0-490a-9482-fcbafc821281,read,role
24/02/2025, 18:28:04,579db272-c0f0-490a-9482-fcbafc821281,read,secret
24/02/2025, 18:28:04,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
24/02/2025, 18:27:02,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:27:00,579db272-c0f0-490a-9482-fcbafc821281,create,role_binding
